,polarity,subjectivity,length
0,1.0,1.0,68
1,1.0,1.0,45
2,1.0,1.0,41
3,1.0,1.0,59
4,0.0,2.0,65
5,1.0,1.0,84
6,1.0,1.0,36
7,1.0,1.0,80
8,1.0333333333333334,1.0666666666666667,79
9,1.0,1.0,87
10,1.0,2.0,83
11,1.0,1.0,54
12,1.0,1.0,60
13,1.1666666666666667,1.5166666666666666,52
14,1.0,1.0,14
15,1.6,1.9,54
16,1.0,1.0,50
17,1.2,1.3,64
18,1.0,1.0,52
19,1.0,1.0,52
20,1.5416666666666667,1.8333333333333335,53
21,1.0,1.0,43
22,1.0,1.0,58
23,1.0,1.0,57
24,0.6,1.5,44
25,1.0,1.0,65
26,1.8,2.0,59
27,1.0,1.1,52
28,1.0,1.0,48
29,1.1666666666666667,1.2305555555555556,97
30,1.25,1.85,67
31,2.0,2.0,76
32,1.0,1.0625,61
33,1.5,1.5,44
34,1.2041666666666666,1.5208333333333333,50
35,1.0,1.0,35
36,0.6,1.5,59
37,0.7666666666666666,1.4190476190476191,70
38,1.2,1.65,52
39,1.4000000000000001,1.9,60
40,1.0,1.0,37
41,1.5,1.5,76
42,1.0,1.0,45
43,1.0,1.0,58
44,1.1,1.1,89
45,1.0,1.0,66
46,1.1,1.75,70
47,1.1363636363636362,1.4545454545454546,40
48,1.1363636363636362,1.4545454545454546,65
49,1.5,1.5,58
50,1.0,1.0,29
51,1.0,1.0,84
52,1.0,1.0,71
53,1.0,1.0,46
54,1.0,1.0,43
55,0.7,1.2,34
56,1.0,1.0,74
57,1.1363636363636362,1.4545454545454546,49
58,1.1181818181818182,1.418939393939394,78
59,1.0,1.0,42
60,1.0,1.0,32
61,0.0,2.0,89
62,1.5,1.5,80
63,1.0,1.0,113
64,1.6,2.0,71
65,1.511111111111111,1.7000000000000002,68
66,0.6,1.7,69
67,1.0,1.0,41
68,0.75,1.8888888888888888,36
69,1.0,1.0,95
70,1.1555555555555554,1.6277777777777778,57
71,1.7,1.6,40
72,1.05,1.35,70
73,1.5,1.5,43
74,1.0,1.0,35
75,0.6,1.7,67
76,1.0,1.0,69
77,1.0,1.0,35
78,1.45,1.6166666666666667,65
79,0.6875,1.6875,58
80,1.0,1.25,37
81,1.0,1.0,57
82,1.0,1.0,33
83,1.0,1.0,84
84,1.011111111111111,1.4555555555555555,98
85,1.4,1.5,48
86,1.0,1.0,58
87,2.0,2.0,60
88,1.0,1.5,57
89,1.0,1.0,63
90,0.9,1.1,61
91,1.2333333333333334,1.4749999999999999,88
92,1.25,1.3333333333333333,86
93,1.5,1.6,55
94,1.0,1.0,40
95,1.0,1.0,88
96,1.1833333333333333,1.5,58
97,1.0,1.0,79
98,1.0,1.0,79
99,1.0,1.0,56
100,1.0,1.0,54
101,1.0,1.0,59
102,1.0,1.0,27
103,1.3,1.8,56
104,1.0,1.0,57
105,0.875,1.375,73
106,1.0,1.0,41
107,1.2,1.8,67
108,1.211111111111111,1.3666666666666667,76
109,1.0,1.0,51
110,0.30000000000000004,1.2,98
111,1.35,1.6,50
112,1.0,1.5,71
113,0.7833333333333333,1.2166666666666668,72
114,1.0681818181818181,1.7272727272727273,69
115,1.0,1.0,43
116,1.0,1.0,41
117,1.575,1.825,81
118,1.2515151515151515,1.5772727272727272,73
119,1.16,1.54,46
120,1.0,1.0,67
121,1.0,1.0,34
122,1.0,1.0,78
123,0.5,1.9,42
124,0.7375,1.3666666666666667,98
125,1.1,1.1,77
126,1.0,1.0,55
127,1.0,1.7,71
128,0.95,1.25,80
129,0.4,1.9,23
130,1.0,1.0,78
131,0.4,1.8,50
132,1.0,1.0,64
133,1.0,1.1,95
134,1.0,1.0,30
135,2.0,1.3,51
136,0.7250000000000001,1.85,65
137,1.0,1.5,74
138,1.0,1.0,56
139,1.1398148148148148,1.6962962962962962,82
140,0.8,1.35,66
141,1.6,2.0,52
142,0.95,1.0,46
143,1.7,1.85,42
144,1.0,1.0,40
145,1.25,1.3333333333333333,63
146,1.0,1.0,53
147,0.8666666666666667,1.45,54
148,1.0,1.0,59
149,1.1875,1.875,68
150,1.0333333333333334,1.0666666666666667,54
151,1.5,1.55,50
152,1.0,1.0,64
153,1.2,1.6,31
154,1.1363636363636362,1.4545454545454546,64
155,0.5,1.7,77
156,1.0,1.0,82
157,1.0,1.0,64
158,1.0,1.0,63
159,1.0,1.0,32
